	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
STMN1	0	1.37700457493307	0.982	0.704	0	B cells 1	STMN1
TUBB	0	1.3519443592341	0.909	0.625	0	B cells 1	TUBB
TUBA1B	0	1.30887935529977	0.921	0.752	0	B cells 1	TUBA1B
CD24	0	1.24832029297146	0.932	0.439	0	B cells 1	CD24
TCL1A	0	1.20332064506279	0.944	0.519	0	B cells 1	TCL1A
HIST1H4C	0	1.16733865818097	0.502	0.28	0	B cells 1	HIST1H4C
HMGB1	0	1.15460943699896	0.989	0.814	0	B cells 1	HMGB1
CD74	0	1.12810073673512	1	0.862	0	B cells 1	CD74
UHRF1	0	1.10902799805014	0.808	0.332	0	B cells 1	UHRF1
HLA-DRA	0	1.05155127459412	0.999	0.76	0	B cells 1	HLA-DRA
LAPTM5	0	1.01341862384311	0.979	0.719	0	B cells 1	LAPTM5
TERF2	0	1.00005434247924	0.774	0.343	0	B cells 1	TERF2
HLA-DPB1	0	0.988199434312016	0.949	0.545	0	B cells 1	HLA-DPB1
HMGN2	0	0.980997532522165	0.903	0.773	0	B cells 1	HMGN2
SOCS2	0	0.96809991162248	0.843	0.361	0	B cells 1	SOCS2
RCSD1	0	0.965452143647516	0.923	0.449	0	B cells 1	RCSD1
DNTT	0	0.96428038404264	0.968	0.747	0	B cells 1	DNTT
PTMA	0	0.951979682259332	1	0.978	0	B cells 1	PTMA
VPREB3	0	0.942069001498779	0.887	0.425	0	B cells 1	VPREB3
GAPDH	0	0.940051775928816	0.984	0.792	0	B cells 1	GAPDH
HLA-DPA1	0	0.918642807470283	0.937	0.543	0	B cells 1	HLA-DPA1
MDK	0	0.898368718892301	0.702	0.325	0	B cells 1	MDK
CD79A	0	0.894566945640817	0.887	0.483	0	B cells 1	CD79A
MARCKSL1	0	0.893687146910398	0.866	0.449	0	B cells 1	MARCKSL1
RP11-301G19.1	0	0.865545089969368	0.611	0.228	0	B cells 1	RP11-301G19.1
ACTG1	0	0.857710886859745	0.953	0.73	0	B cells 1	ACTG1
HLA-DRB1	0	0.844132939511948	0.955	0.584	0	B cells 1	HLA-DRB1
H2AFZ	0	0.812315247821624	0.757	0.554	0	B cells 1	H2AFZ
RPS4Y2	0	0.79792851144325	0.764	0.341	0	B cells 1	RPS4Y2
PRDX1	0	0.795043316657434	0.852	0.509	0	B cells 1	PRDX1
HNRNPA1	0	0.789098216346984	0.99	0.84	0	B cells 1	HNRNPA1
SOX4	0	0.784330854964727	0.791	0.344	0	B cells 1	SOX4
CD79B	0	0.783044716026995	0.834	0.482	0	B cells 1	CD79B
FKBP1A	0	0.776518391685755	0.891	0.521	0	B cells 1	FKBP1A
H1FX	0	0.765619944597127	0.782	0.466	0	B cells 1	H1FX
CFL1	0	0.751424790264289	0.987	0.828	0	B cells 1	CFL1
XBP1	0	0.751280992008627	0.754	0.391	0	B cells 1	XBP1
HMGN1	0	0.748680126685324	0.91	0.648	0	B cells 1	HMGN1
DDAH2	0	0.740277087284506	0.716	0.292	0	B cells 1	DDAH2
HMGA1	0	0.738520511113644	0.694	0.344	0	B cells 1	HMGA1
VPREB1	0	0.736886375768726	0.603	0.266	0	B cells 1	VPREB1
JUN	0	0.734462635743672	0.807	0.6	0	B cells 1	JUN
CCND3	0	0.731388461350639	0.725	0.453	0	B cells 1	CCND3
ARHGDIB	0	0.725462499122467	0.963	0.727	0	B cells 1	ARHGDIB
HLA-DMA	0	0.725429089898225	0.818	0.403	0	B cells 1	HLA-DMA
ZCCHC7	0	0.721704966208906	0.709	0.293	0	B cells 1	ZCCHC7
MZB1	0	0.716296295618326	0.837	0.426	0	B cells 1	MZB1
CD99	0	0.715418967954407	0.78	0.474	0	B cells 1	CD99
HNRNPA2B1	0	0.713078840442606	0.929	0.733	0	B cells 1	HNRNPA2B1
H3F3B	0	0.711909956136342	1	0.937	0	B cells 1	H3F3B
SUMO2	0	0.70395811209383	0.935	0.694	0	B cells 1	SUMO2
TUBA1A	0	0.702627879735193	0.808	0.501	0	B cells 1	TUBA1A
HNRNPA0	0	0.698250286860214	0.88	0.566	0	B cells 1	HNRNPA0
H3F3A	0	0.697330195791154	0.995	0.907	0	B cells 1	H3F3A
SSBP2	0	0.687686341252027	0.719	0.31	0	B cells 1	SSBP2
CLIC1	0	0.685116134291636	0.83	0.471	0	B cells 1	CLIC1
HLA-DQB1	0	0.68340077241954	0.741	0.356	0	B cells 1	HLA-DQB1
H2AFY	0	0.674892379805985	0.798	0.463	0	B cells 1	H2AFY
CALM2	0	0.670575537167124	0.927	0.763	0	B cells 1	CALM2
CMTM7	0	0.653570787937824	0.729	0.347	0	B cells 1	CMTM7
IER2	0	0.652802811731813	0.798	0.542	0	B cells 1	IER2
ACTB	0	0.646945803761945	1	0.97	0	B cells 1	ACTB
MEF2C	0	0.645678035465962	0.783	0.365	0	B cells 1	MEF2C
PKM	0	0.644925190379348	0.732	0.419	0	B cells 1	PKM
MME	0	0.64052209053624	0.674	0.275	0	B cells 1	MME
CTGF	0	0.634720358309581	0.53	0.218	0	B cells 1	CTGF
PPP1R18	0	0.633763453538587	0.68	0.308	0	B cells 1	PPP1R18
YWHAQ	0	0.632023558066775	0.787	0.45	0	B cells 1	YWHAQ
SRSF3	0	0.630373991959405	0.869	0.602	0	B cells 1	SRSF3
IDH2	0	0.622730349322472	0.691	0.357	0	B cells 1	IDH2
UBC	0	0.621589896550066	0.969	0.815	0	B cells 1	UBC
HIST1H2AC	0	0.616263353945484	0.489	0.218	0	B cells 1	HIST1H2AC
IDI1	0	0.613492781846671	0.715	0.334	0	B cells 1	IDI1
H1F0	0	0.612552946444764	0.682	0.449	0	B cells 1	H1F0
PARP1	0	0.608494983032036	0.693	0.32	0	B cells 1	PARP1
RAN	0	0.601944632601404	0.762	0.512	0	B cells 1	RAN
NPY	0	0.597624676243721	0.429	0.148	0	B cells 1	NPY
SRP9	0	0.596520998023351	0.786	0.481	0	B cells 1	SRP9
TCF4	0	0.594909655017766	0.595	0.225	0	B cells 1	TCF4
HNRNPM	0	0.593123742105894	0.778	0.47	0	B cells 1	HNRNPM
ARPP21	0	0.590292538346022	0.511	0.18	0	B cells 1	ARPP21
HLA-C	0	0.590145540474879	0.975	0.827	0	B cells 1	HLA-C
C1orf228	0	0.589149472700808	0.714	0.363	0	B cells 1	C1orf228
NUCKS1	0	0.587432255907209	0.567	0.31	0	B cells 1	NUCKS1
EGFL7	0	0.587249469078638	0.576	0.226	0	B cells 1	EGFL7
TKT	0	0.584801631608767	0.702	0.373	0	B cells 1	TKT
HLA-DQA1	0	0.583173856565963	0.635	0.276	0	B cells 1	HLA-DQA1
LAT2	0	0.582438908518871	0.606	0.267	0	B cells 1	LAT2
JUP	0	0.580421935656279	0.583	0.205	0	B cells 1	JUP
HNRNPC	0	0.579274954777862	0.875	0.601	0	B cells 1	HNRNPC
CXCR4	0	0.577362779140318	0.884	0.644	0	B cells 1	CXCR4
DUT	0	0.572010310846737	0.64	0.386	0	B cells 1	DUT
SEPT6	0	0.571753545412185	0.728	0.371	0	B cells 1	SEPT6
DYNLL1	0	0.569711179384	0.793	0.539	0	B cells 1	DYNLL1
RHOA	0	0.566424912215334	0.835	0.558	0	B cells 1	RHOA
IFI16	0	0.565409507588189	0.702	0.356	0	B cells 1	IFI16
TPM4	0	0.565348355097124	0.579	0.231	0	B cells 1	TPM4
GNG7	0	0.562368037580738	0.615	0.242	0	B cells 1	GNG7
SMARCA4	0	0.561702532432728	0.601	0.234	0	B cells 1	SMARCA4
RBMX	0	0.560357805222811	0.734	0.442	0	B cells 1	RBMX
NASP	0	0.55893576044749	0.603	0.297	0	B cells 1	NASP
UBE2I	0	0.557847113517675	0.696	0.37	0	B cells 1	UBE2I
HNRNPK	0	0.557339407336183	0.91	0.725	0	B cells 1	HNRNPK
ERGIC1	0	0.554067155625735	0.592	0.224	0	B cells 1	ERGIC1
GMFG	0	0.553673432721697	0.881	0.611	0	B cells 1	GMFG
PDIA6	0	0.550390772897489	0.665	0.334	0	B cells 1	PDIA6
HPS4	0	0.549314252637071	0.624	0.283	0	B cells 1	HPS4
LEF1	0	0.547153243889221	0.659	0.378	0	B cells 1	LEF1
PPIA	0	0.545449604160207	0.877	0.714	0	B cells 1	PPIA
SLC35E3	0	0.540717742624324	0.542	0.213	0	B cells 1	SLC35E3
PCDH9	0	0.537651386887495	0.497	0.188	0	B cells 1	PCDH9
RANBP1	0	0.536589362524857	0.698	0.427	0	B cells 1	RANBP1
EEF2	0	0.534778851014536	0.969	0.81	0	B cells 1	EEF2
NONO	0	0.530859255605496	0.656	0.336	0	B cells 1	NONO
EIF3F	0	0.526670428774151	0.789	0.514	0	B cells 1	EIF3F
DUSP1	0	0.524152140237235	0.886	0.719	0	B cells 1	DUSP1
SRSF2	0	0.523245390406948	0.83	0.581	0	B cells 1	SRSF2
PSME1	0	0.521779118505702	0.896	0.703	0	B cells 1	PSME1
PLIN3	0	0.520914737772466	0.519	0.204	0	B cells 1	PLIN3
PEBP1	0	0.520034953289607	0.731	0.422	0	B cells 1	PEBP1
