Sample	Type	cell_type	number	percent
ETV6-RUNX1_1	ETV6-RUNX1	B cells 1	1341	50.9885931558935
ETV6-RUNX1_1	ETV6-RUNX1	B cells 2	750	28.5171102661597
ETV6-RUNX1_1	ETV6-RUNX1	Naive T cells	126	4.79087452471483
ETV6-RUNX1_1	ETV6-RUNX1	Erythrocytes 1	146	5.55133079847909
ETV6-RUNX1_1	ETV6-RUNX1	Erythrocytes 2	40	1.52091254752852
ETV6-RUNX1_1	ETV6-RUNX1	Monocytes	52	1.97718631178707
ETV6-RUNX1_1	ETV6-RUNX1	B cells 3	91	3.46007604562738
ETV6-RUNX1_1	ETV6-RUNX1	B cells 4	37	1.40684410646388
ETV6-RUNX1_1	ETV6-RUNX1	Erythrocytes 3	3	0.114068441064639
ETV6-RUNX1_1	ETV6-RUNX1	Cytotoxic NK/T cells	13	0.494296577946768
ETV6-RUNX1_1	ETV6-RUNX1	B cells 5	31	1.1787072243346
ETV6-RUNX1_2	ETV6-RUNX1	B cells 1	3643	58.73911641406
ETV6-RUNX1_2	ETV6-RUNX1	B cells 2	1244	20.0580457916801
ETV6-RUNX1_2	ETV6-RUNX1	Naive T cells	188	3.03128023218317
ETV6-RUNX1_2	ETV6-RUNX1	Erythrocytes 1	195	3.14414704933892
ETV6-RUNX1_2	ETV6-RUNX1	Erythrocytes 2	163	2.62818445662689
ETV6-RUNX1_2	ETV6-RUNX1	Monocytes	74	1.19316349564657
ETV6-RUNX1_2	ETV6-RUNX1	B cells 3	241	3.88584327636246
ETV6-RUNX1_2	ETV6-RUNX1	B cells 4	304	4.90164463076427
ETV6-RUNX1_2	ETV6-RUNX1	Erythrocytes 3	6	0.0967429861335053
ETV6-RUNX1_2	ETV6-RUNX1	Cytotoxic NK/T cells	47	0.757820058045792
ETV6-RUNX1_2	ETV6-RUNX1	B cells 5	97	1.56401160915834
ETV6-RUNX1_3	ETV6-RUNX1	B cells 1	1297	33.7233489339574
ETV6-RUNX1_3	ETV6-RUNX1	B cells 2	57	1.48205928237129
ETV6-RUNX1_3	ETV6-RUNX1	Naive T cells	1341	34.8673946957878
ETV6-RUNX1_3	ETV6-RUNX1	Erythrocytes 1	280	7.28029121164847
ETV6-RUNX1_3	ETV6-RUNX1	Erythrocytes 2	140	3.64014560582423
ETV6-RUNX1_3	ETV6-RUNX1	Monocytes	65	1.69006760270411
