Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
aerobic respiration	GOTERM_BP_DIRECT	8	33.33333333333333	7.700402290208803e-13	MT-ND4L, MT-ND4, MT-ND5, MT-CO1, MT-CO3, MT-ND2, MT-ND3, MT-ND1	23	68	19414	99.30434782608695	8.701572795644097e-11	8.701454587935947e-11	7.546394244404626e-11
mitochondrial ATP synthesis coupled proton transport	GOTERM_BP_DIRECT	7	29.16666666666667	7.954959458905082e-11	MT-ATP6, MT-ND4L, MT-ND4, MT-ND5, MT-ND2, MT-ND3, MT-ND1	23	65	19414	90.90167224080268	8.989103572609736e-09	3.4305269889288038e-09	2.9751473001329453e-09
hydrogen peroxide catabolic process	GOTERM_BP_DIRECT	6	25.0	9.10759377591718e-11	PRDX2, HBM, HBB, HBA2, HBD, HBA1	23	27	19414	187.57487922705312	1.0291579477517132e-08	3.4305269889288038e-09	2.9751473001329453e-09
mitochondrial electron transport, NADH to ubiquinone	GOTERM_BP_DIRECT	6	25.0	1.7054142340814504e-09	MT-ND4L, MT-ND4, MT-ND5, MT-ND2, MT-ND3, MT-ND1	23	47	19414	107.7557816836263	1.927117923017363e-07	4.817795211280097e-08	4.178264873499553e-08
oxygen transport	GOTERM_BP_DIRECT	5	20.833333333333336	2.2299906709730605e-09	HBM, HBB, HBA2, HBD, HBA1	23	16	19414	263.7771739130435	2.519889105156992e-07	5.039778916399117e-08	4.370781715107199e-08
ATP synthesis coupled electron transport	GOTERM_BP_DIRECT	4	16.666666666666664	4.407438930093379e-08	MT-ND4L, MT-ND4, MT-ND5, MT-CO2	23	7	19414	482.33540372670797	4.980393692677332e-06	8.300676651675862e-07	7.198816919152519e-07
carbon dioxide transport	GOTERM_BP_DIRECT	4	16.666666666666664	4.560234496001485e-07	HBB, HBA2, HBD, HBA1	23	14	19414	241.16770186335398	5.15293338678724e-05	7.36152140068811e-06	6.384328294402079e-06
cellular oxidant detoxification	GOTERM_BP_DIRECT	5	20.833333333333336	1.350400337665539e-06	HBM, HBB, HBA2, HBD, HBA1	23	74	19414	57.03290246768507	0.00015258369911141934	1.9074404769525745e-05	1.6542404136402856e-05
electron transport coupled proton transport	GOTERM_BP_DIRECT	3	12.5	7.34494851550177e-06	MT-ND4, MT-ND5, MT-CO1	23	4	19414	633.0652173913044	0.0008296378903651648	9.221990913907776e-05	7.997832827990817e-05
nitric oxide transport	GOTERM_BP_DIRECT	3	12.5	1.2233173397946781e-05	HBB, HBA2, HBA1	23	5	19414	506.45217391304334	0.0013814020338929198	0.00013823485939679862	0.00011988509929987844
cellular respiration	GOTERM_BP_DIRECT	4	16.666666666666664	1.408961308116168e-05	MT-CO1, MT-CO2, MT-CO3, MT-CYB	23	42	19414	80.38923395445136	0.0015908707159790758	0.00014252330592519843	0.00012360428301477387
response to hydrogen peroxide	GOTERM_BP_DIRECT	4	16.666666666666664	1.5135218328339657e-05	MT-ND5, HBB, HBA2, HBA1	23	43	19414	78.5197168857432	0.001708830896983815	0.00014252330592519843	0.00012360428301477387
mitochondrial respiratory chain complex I assembly	GOTERM_BP_DIRECT	4	16.666666666666664	5.031578572275784e-05	MT-ND4, MT-ND5, MT-ND2, MT-ND1	23	64	19414	52.7554347826087	0.005669693110250007	0.0004373602912824335	0.0003793036154484821
mitochondrial electron transport, cytochrome c to oxygen	GOTERM_BP_DIRECT	3	12.5	0.00039188615101058287	MT-CO1, MT-CO2, MT-CO3	23	26	19414	97.39464882943143	0.04332525464039017	0.0031630810760139897	0.0027432030570740803
hydrogen ion transmembrane transport	GOTERM_BP_DIRECT	4	16.666666666666664	0.0005328086292834521	MT-ATP6, MT-CO2, MT-CO3, MT-CYB	23	142	19414	23.777097366809553	0.058445852239629385	0.003999494509368415	0.0034685881585672976
aging	GOTERM_BP_DIRECT	4	16.666666666666664	0.0005663001075211914	MT-ATP6, MT-ND4, MME, MT-CO1	23	145	19414	23.28515742128935	0.062004416403992235	0.003999494509368415	0.0034685881585672976
positive regulation of cell death	GOTERM_BP_DIRECT	3	12.5	0.0008855663031629037	HBB, HBA2, HBA1	23	39	19414	64.92976588628763	0.09526511893309664	0.005886411309259301	0.005105029277056738
response to oxidative stress	GOTERM_BP_DIRECT	3	12.5	0.008333819713370374	PRDX2, MT-CO1, MT-ND3	23	122	19414	20.756236635780468	0.6115798388048861	0.052317868200602906	0.045373018439460934
oxidative phosphorylation	GOTERM_BP_DIRECT	2	8.333333333333332	0.02132245418174221	MT-CO1, MT-CYB	23	19	19414	88.8512585812357	0.9124456880037406	0.12681249065983524	0.10997897420056507
respiratory electron transport chain	GOTERM_BP_DIRECT	2	8.333333333333332	0.024649229150012657	MT-CO1, MT-CYB	23	22	19414	76.73517786561266	0.940409920565835	0.1392681446975715	0.12078122283506205
