	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
STMN1	4.20076362868851e-269	0.635147621822293	0.982	0.905	7.87013065834792e-265	B cells 1	STMN1
ACTB	2.2746882914371e-264	0.447955021569832	1	0.997	4.26162851400741e-260	B cells 1	ACTB
TUBB	6.13705741914791e-263	0.930807931715921	0.909	0.796	1.14977770747736e-258	B cells 1	TUBB
PTMA	1.53154794714238e-236	0.405195486155558	1	0.999	2.86935507897125e-232	B cells 1	PTMA
TUBA1B	1.08622371228462e-227	1.01924005656246	0.921	0.843	2.03504012496524e-223	B cells 1	TUBA1B
HMGB1	1.06028125933135e-213	0.613771050297873	0.989	0.961	1.98643693935728e-209	B cells 1	HMGB1
GAPDH	1.03842511305471e-212	0.53215239381916	0.984	0.932	1.94548944930801e-208	B cells 1	GAPDH
CFL1	4.67955469607065e-191	0.336953776953611	0.987	0.957	8.76714572308837e-187	B cells 1	CFL1
ARHGDIB	1.39883568077975e-173	0.376170472019764	0.963	0.897	2.62071864794086e-169	B cells 1	ARHGDIB
HNRNPA2B1	1.50876210477173e-169	0.406921020333361	0.929	0.851	2.82666580328983e-165	B cells 1	HNRNPA2B1
CD24	3.15639683381246e-165	0.438209248082784	0.932	0.784	5.91350946814764e-161	B cells 1	CD24
HMGA1	9.81256288815172e-150	0.435808810502061	0.694	0.507	1.83838365709522e-145	B cells 1	HMGA1
HNRNPA0	3.46101292499417e-140	0.331333371730266	0.88	0.744	6.48420771497658e-136	B cells 1	HNRNPA0
UHRF1	4.06664923590796e-138	0.430415673401657	0.808	0.612	7.61886734347357e-134	B cells 1	UHRF1
IDH2	1.56764361271184e-135	0.364757562547186	0.691	0.508	2.93698030841563e-131	B cells 1	IDH2
HNRNPA1	1.26177630582451e-133	0.297196910621937	0.99	0.966	2.36393790896222e-129	B cells 1	HNRNPA1
TUBA1A	1.00044167793097e-132	0.398867605682698	0.808	0.658	1.87432748360368e-128	B cells 1	TUBA1A
DDAH2	1.63057634654772e-132	0.344709288346162	0.716	0.53	3.05488478525715e-128	B cells 1	DDAH2
HMGN2	4.95518866055316e-132	0.644973528344673	0.903	0.837	9.28354595554635e-128	B cells 1	HMGN2
CALM3	8.68115563390131e-129	0.354168765080544	0.669	0.484	1.62641450801141e-124	B cells 1	CALM3
LMNB1	1.72118051039527e-127	0.312215789395121	0.335	0.16	3.22463168622554e-123	B cells 1	LMNB1
H2AFZ	6.23287593573139e-127	0.636652254116275	0.757	0.635	1.16772930655928e-122	B cells 1	H2AFZ
LAPTM5	1.06146574171885e-123	0.341878950406134	0.979	0.914	1.98865606711027e-119	B cells 1	LAPTM5
H3F3A	1.74044372511732e-123	0.299259606762661	0.995	0.985	3.26072131900729e-119	B cells 1	H3F3A
RAN	2.17951248770341e-123	0.393702891300578	0.762	0.62	4.08331664571234e-119	B cells 1	RAN
MARCKSL1	4.46028996792608e-121	0.338576394938671	0.866	0.693	8.35635325490951e-117	B cells 1	MARCKSL1
PKM	5.70006352674442e-121	0.355110750648112	0.732	0.565	1.06790690173557e-116	B cells 1	PKM
HIST1H4C	2.35463842114407e-120	1.2813029063678	0.502	0.336	4.41141508201342e-116	B cells 1	HIST1H4C
SRSF3	1.29709774017201e-117	0.322560942098448	0.869	0.743	2.43011261621226e-113	B cells 1	SRSF3
CALM2	1.10776738629702e-116	0.398191198931098	0.927	0.865	2.07540219822746e-112	B cells 1	CALM2
SOCS2	1.14609192257281e-116	0.333989855371592	0.843	0.673	2.14720321694015e-112	B cells 1	SOCS2
NUCKS1	8.67897939181274e-112	0.429664525605453	0.567	0.403	1.62600678905612e-107	B cells 1	NUCKS1
HMGN1	2.42339737817942e-111	0.32202663103482	0.91	0.831	4.54023498801914e-107	B cells 1	HMGN1
XRCC6	1.24148268390514e-109	0.285592997949883	0.638	0.457	2.32591780829628e-105	B cells 1	XRCC6
TCL1A	1.81261161795606e-109	0.368021669758036	0.944	0.831	3.39592786624068e-105	B cells 1	TCL1A
CKS1B	2.79101565747234e-108	0.430861845666072	0.395	0.233	5.22896783427443e-104	B cells 1	CKS1B
HMGB3	4.00545202741587e-107	0.347764581688766	0.356	0.195	7.50421437336363e-103	B cells 1	HMGB3
BIRC5	9.95257640459641e-107	0.433316909931835	0.251	0.11	1.86461518940114e-102	B cells 1	BIRC5
SMC4	1.13755021901492e-106	0.377385049974907	0.373	0.211	2.13120033532446e-102	B cells 1	SMC4
RCSD1	5.00152571989036e-105	0.296056840582652	0.923	0.78	9.37035843621458e-101	B cells 1	RCSD1
ACTG1	5.90520062246572e-105	0.317373938301676	0.953	0.905	1.10633933661895e-100	B cells 1	ACTG1
TMSB4X	7.40453326292509e-104	0.251182372038128	1	1	1.38723930680902e-99	B cells 1	TMSB4X
FKBP1A	4.35752061387111e-103	0.284847090346548	0.891	0.764	8.16381487008752e-99	B cells 1	FKBP1A
H1FX	6.18574949645421e-103	0.364369109033657	0.782	0.627	1.1589001681607e-98	B cells 1	H1FX
PPP1R18	6.48825602154256e-103	0.288927461355505	0.68	0.501	1.215574765636e-98	B cells 1	PPP1R18
HLA-C	1.0353739358935e-102	0.28659188028035	0.975	0.949	1.93977306889648e-98	B cells 1	HLA-C
HSPA8	1.14739181083934e-102	0.370101648224331	0.789	0.67	2.1496385576075e-98	B cells 1	HSPA8
HNRNPM	5.35801136129363e-102	0.289899086890786	0.778	0.625	1.00382342853836e-97	B cells 1	HNRNPM
H2AFV	1.10019184016125e-101	0.353181917461441	0.603	0.447	2.0612094125421e-97	B cells 1	H2AFV
TPM4	1.7098348673769e-101	0.286814678529984	0.579	0.399	3.20337562403062e-97	B cells 1	TPM4
TYMS	1.46893750491147e-100	0.443028132741378	0.388	0.229	2.75205441545164e-96	B cells 1	TYMS
ATP5B	1.16110297245456e-99	0.283276109621274	0.754	0.602	2.17532641889362e-95	B cells 1	ATP5B
DNTT	5.59114677997526e-99	0.289374492254446	0.968	0.894	1.04750134922837e-94	B cells 1	DNTT
MAD2L1	7.58816598541051e-99	0.291431860560986	0.291	0.144	1.42164289736666e-94	B cells 1	MAD2L1
CALM1	1.83414923553967e-98	0.287009091410028	0.784	0.633	3.43627859278357e-94	B cells 1	CALM1
H2AFY	4.02908369135498e-98	0.299664830513276	0.798	0.644	7.54848829575355e-94	B cells 1	H2AFY
DYNLL1	1.24589784112634e-97	0.304139297318123	0.793	0.649	2.33418960535019e-93	B cells 1	DYNLL1
UBE2S	5.62885815658188e-97	0.294164276006438	0.341	0.187	1.05456657563561e-92	B cells 1	UBE2S
MDK	1.47170494497119e-96	0.371233625746474	0.702	0.542	2.75723921440353e-92	B cells 1	MDK
HMGB2	4.73488606229974e-96	0.879749507083905	0.719	0.615	8.87080903771856e-92	B cells 1	HMGB2
SRP9	4.00980024256122e-94	0.279052145338572	0.786	0.649	7.51236075443845e-90	B cells 1	SRP9
