	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TERF2	3.35417005197686e-274	2.08306408241523	0.835	0.067	6.28403759237864e-270
H1F0	2.47662757061236e-225	1.88379109853078	0.739	0.024	4.63996175354225e-221
RPS4Y2	3.6697142128838e-273	1.85132583651281	0.827	0.039	6.87520957783781e-269
TCL1B	2.11749465086438e-96	1.79764278419702	0.481	0.055	3.96712622839442e-92
RP11-301G19.1	5.05456598469732e-189	1.72142021982635	0.663	0.009	9.46972937233043e-185
MDK	2.1016898909187e-220	1.70050396011052	0.757	0.065	3.93751601063619e-216
SOCS2	6.57086426465930e-274	1.65397003644332	0.902	0.16	1.23105141998392e-269
CD52	1.86061768152732e-220	1.55422712923811	0.963	0.714	3.48586722634143e-216
HLA-DPA1	4.65650541803426e-281	1.54969634430814	0.967	0.595	8.72396290068719e-277
DNTT	3.90642426451367e-238	1.53719154410088	0.997	0.632	7.31868585956636e-234
CD74	0	1.53331996573651	1	1	0
HLA-DPB1	4.80903523596427e-219	1.43339474254487	0.968	0.733	9.00972751457905e-215
TSC22D3	1.33098592439882e-145	1.36696451847649	0.788	0.361	2.49360212936118e-141
HLA-DRB1	6.10050671647669e-230	1.33702806656842	0.973	0.739	1.14292993333191e-225
LTB	3.89154739925448e-152	1.32061005608303	0.791	0.257	7.29081405250327e-148
AIF1	3.1368787021727e-183	1.28950802866755	0.802	0.239	5.87694224852055e-179
HLA-C	7.75437705797806e-219	1.2642410789825	0.987	0.828	1.45278254181219e-214
C1orf228	8.18232284527189e-206	1.25364236494325	0.766	0.122	1.53295818506169e-201
LAPTM5	4.49269944583587e-218	1.24554517864727	0.993	0.819	8.41707241177351e-214
HSPB1	4.32691166969493e-119	1.22919720221787	0.611	0.142	8.10646901317345e-115
CD99	8.64265988364178e-151	1.223586320391	0.817	0.355	1.61920232920029e-146
HLA-DRA	2.78423474746121e-263	1.21470173764396	0.999	0.991	5.21626379936857e-259
CTGF	6.28930224762301e-137	1.21151569642265	0.573	0.04	1.17830077609217e-132
XBP1	6.53709493265877e-158	1.1922555903199	0.795	0.283	1.22472473563362e-153
HIST1H1C	6.06366076434064e-57	1.18669801181228	0.543	0.243	1.13602684419922e-52
MARCKSL1	6.65798302816922e-176	1.15535272971087	0.898	0.491	1.2473731203275e-171
LST1	1.24002143676188e-138	1.15184248069711	0.682	0.165	2.32318016177338e-134
IER2	5.75472380448583e-131	1.121277482942	0.83	0.43	1.07814750477042e-126
ZFP36L2	4.37041923890852e-140	1.11104959683296	0.85	0.482	8.18798044409511e-136
HLA-DQA1	1.17763835424122e-150	1.09651340957496	0.678	0.139	2.20630545667093e-146
FCGRT	1.99290896176639e-118	1.03534534093504	0.545	0.064	3.73371493986934e-114
SH3BGRL3	2.39913494294922e-140	1.00060493596929	0.938	0.734	4.49477931561537e-136
HIST1H2AC	1.53088526352912e-94	0.997652408381655	0.522	0.104	2.8681135412218e-90
NPY	2.46745362202769e-91	0.992358667173147	0.462	0.049	4.62277436086887e-87
RNASET2	2.68226609032246e-155	0.991561154410728	0.675	0.12	5.02522552021914e-151
CD79A	7.40197767142822e-94	0.984100596321103	0.898	0.76	1.38676051674208e-89
JUN	4.75656754120021e-51	0.983291651240094	0.818	0.675	8.91142928843859e-47
FKBP1A	1.13774236681225e-156	0.974564269431744	0.914	0.631	2.13156032422276e-152
EGFL7	6.85662766455296e-144	0.969753682201806	0.619	0.074	1.284589192954e-139
MEF2C	1.32512242926381e-140	0.952175599272585	0.821	0.337	2.48261687122574e-136
HLA-DMA	1.53377539906968e-134	0.919127864937908	0.849	0.461	2.87352821015705e-130
PPP1R15A	2.11742038686451e-79	0.883818895271173	0.733	0.442	3.96698709479066e-75
HPS4	4.56738064325351e-104	0.877057695864035	0.657	0.234	8.55698763513546e-100
JUP	2.63730058780862e-137	0.873340746323923	0.624	0.105	4.94098265125945e-133
GPX1	1.69966361464901e-121	0.866473774783715	0.872	0.558	3.18431978204492e-117
STAG3	1.66301482466041e-102	0.861629178970674	0.502	0.058	3.11565827400128e-98
PPP1R18	9.66426236401481e-118	0.860207944683098	0.715	0.28	1.81059955389817e-113
