Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cell division	92	18.253968253968253	1.9030320189492416E-63	GPSM2, ZWILCH, CCNF, NCAPG2, CLTA, KIF11, SMC3, SMC4, CKS1B, SMC2, CDC20, TUBA1C, TUBA1B, TUBA1A, PTTG1, MIS18BP1, CHEK2, NUF2, CHMP1A, RCC1, NEK2, FBXO5, SPDL1, HELLS, NUDC, LIG1, TUBB, VRK1, SMC1A, KNSTRN, CKAP5, HAUS1, CDC25B, CCNA2, ASPM, PSRC1, KIFC1, CKS2, TIMELESS, BIRC5, KIF2C, MAPRE1, KIF20B, ITGB3BP, CDCA2, CDCA3, CDCA5, NCAPG, CDCA8, SKA3, NCAPH, SKA1, AURKB, AURKA, SKA2, CCNB2, DSN1, CCNB1, HAUS8, RAD21, MCMBP, BUB3, BUB1, SAC3D1, CENPT, CDT1, CENPW, UBE2I, SPAG5, UBE2C, NDE1, CDC6, NDC80, ZWINT, MAD2L2, CENPE, TPX2, STAG1, CENPF, MIS18A, UBE2S, PRC1, CDK4, CDK2, CDK1, TACC3, NCAPD2, NCAPD3, SPC24, RAN, SPC25, MAD2L1	483	383	19453	9.67449956483899	4.0991309688166667E-60	4.0991309688166667E-60	3.9164398949975394E-60
chromosome segregation	39	7.738095238095238	7.385861318764766E-36	TOP2A, CDCA2, HJURP, BRCA1, CTCF, SKA3, SKA1, SKA2, DSN1, RAD21, NUF2, RCC1, NEK2, BANF1, BUB1, DLGAP5, CENPT, CENPU, CDT1, CENPW, UBE2I, SPAG5, NDE1, ESCO2, KNSTRN, NDC80, CENPE, CENPF, MIS18A, CENPH, CENPK, CENPL, BIRC5, CENPM, CENPN, SLC25A5, SPC24, ITGB3BP, SPC25	483	97	19453	16.19318691169879	1.5909145280619307E-32	7.954572640309653E-33	7.600051297008944E-33
DNA replication	34	6.746031746031746	2.890074821284472E-25	FEN1, RNASEH2A, PCNA, MCM7, DSCC1, CHTF18, PTMS, POLD3, ORC6, CHAF1A, POLD1, CHEK1, RBBP7, RFC5, GINS2, RFC3, RRM1, RMI2, DUT, SUPT16H, RFC4, RRM2, LIG1, RFC2, DONSON, RPA1, NAP1L1, SSRP1, FAM111A, DBF4, NASP, RPA3, CDK2, CDK1	483	122	19453	11.224281301971965	6.225221165046752E-22	2.0750737216822507E-22	1.9825913274011476E-22
mitotic cell cycle	36	7.142857142857142	6.000599392197611E-24	CDCA5, DCTN3, CDCA8, YEATS4, KIF11, PKMYT1, SKA3, SMC3, SKA1, AURKB, AURKA, SKA2, KIF15, TUBA1C, TUBA1B, TUBA1A, PBK, NEK2, MYBL2, CENPT, CDT1, CENPW, TUBB, PLK1, CDC6, KIF22, TUBB4B, TUBG1, NDC80, CDC25B, CENPE, TPX2, CENPF, BIRC5, PTPN6, RAN	483	154	19453	9.41501976284585	1.2925291090793654E-20	3.2313227726984135E-21	3.0873083872856708E-21
DNA repair	46	9.126984126984127	1.7307499511520647E-22	FEN1, PARPBP, NUDT1, HMGB1, TTF2, BRCA1, FOXM1, SMC3, RAD51AP1, CHAF1A, PTTG1, POLD1, CHEK1, USP1, RAD54L, CLSPN, BARD1, RFC5, FANCI, RFC3, RRM1, RMI2, SUPT16H, RFC4, LIG1, RFC2, MGMT, PARP2, NONO, DDX11, ACTL6A, RPA1, FANCA, SSRP1, KIF22, SMC1A, FANCG, DDB2, RBX1, RAD51, UBE2T, RPA3, CDK2, TIMELESS, CDK1, RAD9A	483	301	19453	6.155038759689923	3.7280353947815475E-19	7.456070789563095E-20	7.123766798941899E-20
mitotic spindle assembly checkpoint	18	3.571428571428571	1.48901357806864E-19	ZWILCH, PLK1, NDC80, ZWINT, AURKB, MAD2L2, CDC20, CENPF, NUF2, BIRC5, BUB3, TRIP13, PSMG2, SPDL1, BUB1, SPC24, MAD2L1, SPC25	483	32	19453	22.654891304347824	3.20733524715985E-16	5.1769027642152246E-17	4.946177292829588E-17
mitotic spindle organization	22	4.365079365079365	1.6823732288536013E-19	GPSM2, NUDC, PLK1, CDCA8, KIF11, TUBG1, CKAP5, NDC80, AURKB, AURKA, CENPE, CCNB1, CENPH, KIF4A, NUF2, STMN1, TACC3, BIRC5, RCC1, RAN, DLGAP5, SPC25	483	58	19453	15.276861569215392	3.6238319349506574E-16	5.1769027642152246E-17	4.946177292829588E-17
mitotic sister chromatid segregation	18	3.571428571428571	6.55006366156606E-18	SPAG5, PLK1, NCAPG2, CDCA8, SMC1A, TUBG1, SMC4, KNSTRN, NDC80, ZWINT, DSN1, KIFC1, CENPK, NUSAP1, NEK2, BUB3, RAN, MAD2L1	483	38	19453	19.07780320366133	1.4108837127013293E-14	1.7636046408766616E-15	1.685003876937869E-15
cell cycle	42	8.333333333333332	6.243593277584827E-16	CDCA2, SMARCB1, CDCA3, MCM7, CDCA5, HJURP, CDCA8, CLTA, BRCA1, KIF11, MKI67, CHTF18, SMC4, AURKA, CKS1B, SMC2, CHAF1A, CDC45, MIS18BP1, NUF2, PIM1, E2F2, HMG20B, CDKN2D, CENPT, FANCI, CDT1, HELLS, CDKN2C, PLK1, CDC25B, MIS18A, NASP, MCM3, BIRC5, PIN1, ERH, KIF20B, SPC24, ITGB3BP, CDKN3, RHNO1	483	366	19453	4.62176288904728	1.4348522370255523E-12	1.4942999911019686E-13	1.4277016628077303E-13
mitotic chromosome condensation	11	2.1825396825396823	6.014318180718376E-12	NCAPH2, CDCA5, PLK1, CHMP1A, NUSAP1, NCAPG, NCAPD2, NCAPD3, SMC4, NCAPH, SMC2	483	19	19453	23.317315026697177	1.2954802453002401E-8	1.2954841361267381E-9	1.2377466815918418E-9
G2/M transition of mitotic cell cycle	16	3.1746031746031744	7.348280047787227E-12	KHDRBS1, PLK1, PKMYT1, FOXM1, CDC25B, AURKA, CCNA2, CCNB1, MELK, CHEK2, CHEK1, CDK2, CDK1, BIRC5, CALM3, CALM2	483	58	19453	11.110444777611196	1.582809405764607E-8	1.438926838448517E-9	1.3747963943951012E-9
mRNA splicing, via spliceosome	25	4.9603174603174605	1.8489551222793124E-10	EIF4A3, HNRNPR, SNRPD1, RALY, SNRPD3, SRSF10, SRRM2, HSPA8, RBM17, HNRNPA3, ALYREF, MAGOHB, LSM4, LSM3, LSM2, SNRNP40, DDX39A, HNRNPF, HNRNPA2B1, SNRPG, SRSF3, SRSF4, SNRNP25, RBMX, SNRPB	483	200	19453	5.034420289855073	3.98264921042113E-7	3.138532906772571E-8	2.99865400284956E-8
positive regulation of chromosome condensation	8	1.5873015873015872	1.8941934906241146E-10	NCAPH2, NCAPG2, NCAPG, NCAPD2, NCAPD3, SMC4, NCAPH, SMC2	483	9	19453	35.80032206119163	4.080092378400124E-7	3.138532906772571E-8	2.99865400284956E-8
positive regulation of chromosome segregation	9	1.7857142857142856	3.533904119891574E-10	NCAPH2, NCAPG2, NCAPG, NCAPD2, NCAPD3, CDC6, SMC4, NCAPH, SMC2	483	14	19453	25.89130434782609	7.612026924341819E-7	5.437163910176036E-8	5.1948390562406135E-8
kinetochore assembly	9	1.7857142857142856	1.4497051371963092E-9	CENPT, CENPE, CENPF, CENPW, CENPH, CENPK, CENPN, CENPA, DLGAP5	483	16	19453	22.654891304347824	3.1226599848110936E-6	2.0817765770139E-7	1.988995448233336E-7
positive regulation of chromosome separation	8	1.5873015873015872	1.6629694495828445E-9	NCAPH2, NCAPG2, NCAPG, NCAPD2, NCAPD3, SMC4, NCAPH, SMC2	483	11	19453	29.291172595520422	3.5820297371591536E-6	2.2387726215009044E-7	2.1389944545259337E-7
cellular response to DNA damage stimulus	28	5.555555555555555	7.40429156033965E-9	TOP2A, CDKN1A, MCM7, MCM10, ASH2L, BRCA1, RAD51AP1, PIDD1, ING2, CHEK2, CHEK1, FBXO5, BARD1, CBX5, CBX3, PARP2, DDX11, RPA1, VRK1, FANCG, DDB2, RBX1, FAM111A, RAD51, UBE2T, RFWD3, TIMELESS, RAD9A	483	298	19453	3.7842622313004575	1.5948716796443385E-5	9.381672953512709E-7	8.963548253634706E-7
positive regulation of DNA-directed DNA polymerase activity	8	1.5873015873015872	8.282236804947267E-9	RFC5, GINS2, RFC3, RFC4, PCNA, RFC2, DSCC1, CHTF18	483	13	19453	24.784838350055743	1.7839778978623322E-5	9.91107670992023E-7	9.469357413656375E-7
CENP-A containing nucleosome assembly	7	1.3888888888888888	4.330503570003016E-8	MIS18A, CENPW, NASP, HJURP, CENPN, CENPA, ITGB3BP	483	10	19453	28.192753623188405	9.327469849451653E-5	4.818118096134374E-6	4.603383027782982E-6
