	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
FOS	0	1.10912906300729	0.95	0.796	0	B progenitor cells 1	FOS
JUN	8.39034615845722e-296	1.07314544461048	0.961	0.752	1.38205781922107e-291	B progenitor cells 1	JUN
IGLC3	8.94114274920227e-197	1.03842131548423	0.445	0.149	1.4727850336486e-192	B progenitor cells 1	IGLC3
DUSP1	4.51981606835162e-179	0.723608276447761	0.962	0.852	7.44504102778879e-175	B progenitor cells 1	DUSP1
HLA-DRA	5.79368255337266e-178	0.4023744564425	1	1	9.54335390191544e-174	B progenitor cells 1	HLA-DRA
KLF2	5.90421359532415e-167	0.721972105926416	0.641	0.348	9.72542063421793e-163	B progenitor cells 1	KLF2
HLA-DRB1	1.46589049516981e-166	0.491822298548972	0.991	0.97	2.41461482364371e-162	B progenitor cells 1	HLA-DRB1
CD52	6.01576787065026e-164	0.595176766516605	0.985	0.938	9.90917283653512e-160	B progenitor cells 1	CD52
TSC22D3	1.70768437137379e-160	0.689060427738456	0.906	0.722	2.81289769652691e-156	B progenitor cells 1	TSC22D3
PPP1R15A	1.89889889810261e-157	0.629852051942014	0.858	0.654	3.12786626495463e-153	B progenitor cells 1	PPP1R15A
TCL1A	2.17261531828772e-137	0.583246086774225	0.99	0.963	3.57873195228353e-133	B progenitor cells 1	TCL1A
HLA-DQB1	2.20858577946743e-133	0.55252487047573	0.879	0.693	3.63798249593876e-129	B progenitor cells 1	HLA-DQB1
LAPTM5	8.764976976718e-122	0.424340833970485	0.999	0.978	1.44376700760499e-117	B progenitor cells 1	LAPTM5
HLA-C	1.15524413764473e-117	0.413393578061811	0.997	0.98	1.9029181435284e-113	B progenitor cells 1	HLA-C
PCDH9	3.23417993975893e-115	0.551646899260961	0.659	0.421	5.32734119677091e-111	B progenitor cells 1	PCDH9
RP11-301G19.1	1.22187294918382e-113	0.712475025361229	0.767	0.584	2.01266912189559e-109	B progenitor cells 1	RP11-301G19.1
S100A16	1.16275727685873e-111	0.406165222640556	0.411	0.172	1.91529378644169e-107	B progenitor cells 1	S100A16
JUNB	7.56415756266056e-110	0.76915462179748	0.705	0.511	1.24596803372145e-105	B progenitor cells 1	JUNB
CXCR4	7.93191796714903e-109	0.529456957920482	0.94	0.851	1.30654552754879e-104	B progenitor cells 1	CXCR4
IER2	9.52848469052223e-109	0.568232236292841	0.9	0.792	1.56953199822282e-104	B progenitor cells 1	IER2
CD74	3.68822503746072e-108	0.310096289223553	1	1	6.07524428170529e-104	B progenitor cells 1	CD74
BTG1	1.15556827630122e-107	0.520237052949927	0.83	0.664	1.90345206472337e-103	B progenitor cells 1	BTG1
ARHGDIB	2.66183082276271e-107	0.401147683012208	0.992	0.971	4.38456773125474e-103	B progenitor cells 1	ARHGDIB
CD37	3.18381687507025e-104	0.523891718363113	0.704	0.496	5.24438315661572e-100	B progenitor cells 1	CD37
UBC	8.36269991287226e-104	0.381068813953619	0.992	0.963	1.37750392964832e-99	B progenitor cells 1	UBC
TERF2	1.1270706306771e-103	0.498535316427552	0.916	0.782	1.85651074285132e-99	B progenitor cells 1	TERF2
TUBA1A	3.36471783734837e-100	0.465883015949792	0.889	0.779	5.54236322168023e-96	B progenitor cells 1	TUBA1A
SH3BGRL3	3.92445328213331e-90	0.403614185537425	0.962	0.926	6.46435944632999e-86	B progenitor cells 1	SH3BGRL3
ZFP36	9.05860812276198e-89	0.544425524205195	0.584	0.385	1.49213392998135e-84	B progenitor cells 1	ZFP36
HLA-DPA1	1.00400698705417e-87	0.342769478807331	0.993	0.977	1.65380030907563e-83	B progenitor cells 1	HLA-DPA1
CD69	2.59946915808394e-84	0.735058113251826	0.649	0.478	4.28184559719587e-80	B progenitor cells 1	CD69
HLA-E	6.06268788953442e-84	0.376565437543019	0.951	0.895	9.9864594916411e-80	B progenitor cells 1	HLA-E
KLF6	1.70336086510253e-81	0.528369991271964	0.669	0.495	2.80577601699688e-77	B progenitor cells 1	KLF6
YPEL5	5.26205409957769e-75	0.386091441292911	0.746	0.587	8.66765551282437e-71	B progenitor cells 1	YPEL5
EIF1	1.89041326965955e-68	0.305201152020984	0.997	0.992	3.1138887377832e-64	B progenitor cells 1	EIF1
HLA-DPB1	5.95134829731619e-68	0.299450643809211	0.994	0.966	9.80306091533924e-64	B progenitor cells 1	HLA-DPB1
IGHM	3.15868942330632e-65	0.364799808720043	0.79	0.644	5.20299321807018e-61	B progenitor cells 1	IGHM
CD24	2.25300427713534e-59	0.339133647186325	0.969	0.901	3.71114864529733e-55	B progenitor cells 1	CD24
FAM26F	9.90349457736731e-59	0.350672658804862	0.564	0.393	1.63130362678394e-54	B progenitor cells 1	FAM26F
RPS26	2.39581552481139e-57	0.263058835340793	0.972	0.912	3.94638733246932e-53	B progenitor cells 1	RPS26
BANK1	1.04200256421079e-54	0.338183285924766	0.597	0.434	1.71638662376801e-50	B progenitor cells 1	BANK1
HLA-DMA	3.09633626211715e-54	0.295648016385194	0.89	0.825	5.10028509095937e-50	B progenitor cells 1	HLA-DMA
UCP2	7.73260561760846e-50	0.355849623019089	0.673	0.549	1.27371479733247e-45	B progenitor cells 1	UCP2
FKBP1A	6.64718066822466e-49	0.253906614262178	0.946	0.922	1.09492359966997e-44	B progenitor cells 1	FKBP1A
FOSB	2.09332086201409e-44	0.304804041923575	0.554	0.406	3.4481181239096e-40	B progenitor cells 1	FOSB
BTG2	7.10661980880566e-44	0.363800921590107	0.466	0.325	1.17060241490647e-39	B progenitor cells 1	BTG2
ZFP36L2	1.26562641506242e-42	0.319116242036122	0.902	0.824	2.08473983089081e-38	B progenitor cells 1	ZFP36L2
MS4A1	2.04452072181189e-41	0.473862173195834	0.272	0.151	3.36773453296854e-37	B progenitor cells 1	MS4A1
SSBP2	5.29603244128595e-41	0.279622857527803	0.77	0.678	8.72362463728622e-37	B progenitor cells 1	SSBP2
CMTM7	3.43505547647655e-38	0.294838881703195	0.767	0.705	5.65822338085217e-34	B progenitor cells 1	CMTM7
MYADM	8.76601730632242e-36	0.282170493918767	0.597	0.468	1.44393837069743e-31	B progenitor cells 1	MYADM
SDC2	1.39604503262133e-35	0.305047546290483	0.499	0.373	2.29956537773385e-31	B progenitor cells 1	SDC2
NPY	2.14770801290319e-34	0.398185187821888	0.531	0.4	3.53770463885413e-30	B progenitor cells 1	NPY
RPS4Y2	3.15761421694322e-34	0.292053062723657	0.851	0.798	5.20122213814887e-30	B progenitor cells 1	RPS4Y2
CD79B	5.80393022110189e-34	0.265572821020835	0.888	0.792	9.56023386019904e-30	B progenitor cells 1	CD79B
RHOB	2.83390619075277e-33	0.282302288005076	0.324	0.206	4.66801027740797e-29	B progenitor cells 1	RHOB
YBX3	3.25707108125054e-33	0.251755531910306	0.768	0.679	5.3650474850359e-29	B progenitor cells 1	YBX3
HIST2H2BE	3.11921352702588e-30	0.25471945418956	0.51	0.387	5.13796852171702e-26	B progenitor cells 1	HIST2H2BE
PAG1	7.37571347720353e-30	0.266772205749507	0.633	0.536	1.21492752396497e-25	B progenitor cells 1	PAG1
LIMD2	9.50334310836867e-30	0.263208510546894	0.512	0.399	1.56539067681049e-25	B progenitor cells 1	LIMD2
SLC35E3	7.05790753735747e-29	0.258343106884934	0.618	0.516	1.16257852955352e-24	B progenitor cells 1	SLC35E3
CCND3	8.46473326470829e-29	0.252088034930165	0.791	0.693	1.39431086336275e-24	B progenitor cells 1	CCND3
