Gene	Term
ABCF1	chr6p_amp
ABT1	chr6p_amp
ADGRF1	chr6p_amp
AGPAT1	chr6p_amp
AIF1	chr6p_amp
ALDH5A1	chr6p_amp
ATAT1	chr6p_amp
ATF6B	chr6p_amp
BAG6	chr6p_amp
BAK1	chr6p_amp
BRD2	chr6p_amp
BTN2A2	chr6p_amp
BTN3A2	chr6p_amp
C6orf62	chr6p_amp
CASC15	chr6p_amp
CCDC167	chr6p_amp
CCHCR1	chr6p_amp
CCND3	chr6p_amp
CDC5L	chr6p_amp
CDKN1A	chr6p_amp
CDYL	chr6p_amp
CLIC1	chr6p_amp
CLIC5	chr6p_amp
CNPY3	chr6p_amp
CSNK2B	chr6p_amp
CUTA	chr6p_amp
DAXX	chr6p_amp
DDAH2	chr6p_amp
DDX39B	chr6p_amp
DEF6	chr6p_amp
DEK	chr6p_amp
DNPH1	chr6p_amp
DTNBP1	chr6p_amp
DUSP22	chr6p_amp
DXO	chr6p_amp
ECI2	chr6p_amp
EEF1E1	chr6p_amp
EHMT2	chr6p_amp
ELOVL5	chr6p_amp
F13A1	chr6p_amp
FLOT1	chr6p_amp
GLO1	chr6p_amp
GMNN	chr6p_amp
GNL1	chr6p_amp
GPANK1	chr6p_amp
GPSM3	chr6p_amp
HIST1H1C	chr6p_amp
HIST1H2AC	chr6p_amp
HIST1H2AE	chr6p_amp
HIST1H2BC	chr6p_amp
HIST1H2BD	chr6p_amp
HIST1H2BG	chr6p_amp
HIST1H2BH	chr6p_amp
HIST1H2BJ	chr6p_amp
HIST1H2BK	chr6p_amp
HIST1H2BN	chr6p_amp
HIST1H3H	chr6p_amp
HIST1H4C	chr6p_amp
HIST1H4H	chr6p_amp
HLA-A	chr6p_amp
HLA-B	chr6p_amp
HLA-C	chr6p_amp
HLA-DMA	chr6p_amp
HLA-DMB	chr6p_amp
HLA-DOA	chr6p_amp
HLA-DOB	chr6p_amp
HLA-DPA1	chr6p_amp
HLA-DPB1	chr6p_amp
HLA-DQA1	chr6p_amp
HLA-DQA2	chr6p_amp
HLA-DQB1	chr6p_amp
HLA-DQB2	chr6p_amp
HLA-DRA	chr6p_amp
HLA-DRB1	chr6p_amp
HLA-DRB5	chr6p_amp
HLA-E	chr6p_amp
HLA-F	chr6p_amp
HMGA1	chr6p_amp
HSP90AB1	chr6p_amp
HSPA1A	chr6p_amp
KCTD20	chr6p_amp
KDM1B	chr6p_amp
KIFC1	chr6p_amp
KLHDC3	chr6p_amp
LEMD2	chr6p_amp
LSM2	chr6p_amp
LST1	chr6p_amp
LTB	chr6p_amp
LY86	chr6p_amp
LYRM4	chr6p_amp
MAPK13	chr6p_amp
MAPK14	chr6p_amp
MCM3	chr6p_amp
MCUR1	chr6p_amp
MEA1	chr6p_amp
MRPL14	chr6p_amp
MRPL2	chr6p_amp
MRPS10	chr6p_amp
MRPS18A	chr6p_amp
MRPS18B	chr6p_amp
MTCH1	chr6p_amp
MYLIP	chr6p_amp
NELFE	chr6p_amp
NEU1	chr6p_amp
NFKBIL1	chr6p_amp
NOL7	chr6p_amp
NRM	chr6p_amp
NRN1	chr6p_amp
NUDT3	chr6p_amp
OARD1	chr6p_amp
PAK1IP1	chr6p_amp
PBX2	chr6p_amp
PFDN6	chr6p_amp
PHACTR1	chr6p_amp
PHF1	chr6p_amp
PIM1	chr6p_amp
PPIL1	chr6p_amp
PPP1R10	chr6p_amp
PPP1R11	chr6p_amp
PPP1R18	chr6p_amp
PRPF4B	chr6p_amp
PRRC2A	chr6p_amp
PSMB8	chr6p_amp
PSMB8-AS1	chr6p_amp
PSMB9	chr6p_amp
PSMG4	chr6p_amp
RGL2	chr6p_amp
RING1	chr6p_amp
RIOK1	chr6p_amp
RNF5	chr6p_amp
RPL10A	chr6p_amp
RPL7L1	chr6p_amp
RPS10	chr6p_amp
RPS18	chr6p_amp
RXRB	chr6p_amp
SERPINB1	chr6p_amp
SERPINB6	chr6p_amp
SERPINB9	chr6p_amp
SLC35B2	chr6p_amp
SNRNP48	chr6p_amp
SNRPC	chr6p_amp
SOX4	chr6p_amp
SRPK1	chr6p_amp
SRSF3	chr6p_amp
SSR1	chr6p_amp
STK38	chr6p_amp
SUPT3H	chr6p_amp
TAF11	chr6p_amp
TAF8	chr6p_amp
TAP1	chr6p_amp
TAP2	chr6p_amp
TAPBP	chr6p_amp
TBC1D7	chr6p_amp
TBCC	chr6p_amp
TCF19	chr6p_amp
TDP2	chr6p_amp
TFEB	chr6p_amp
TMEM14A	chr6p_amp
TMEM14B	chr6p_amp
TMEM14C	chr6p_amp
TNF	chr6p_amp
TNFRSF21	chr6p_amp
TRIM26	chr6p_amp
TRIM27	chr6p_amp
TRIM38	chr6p_amp
TUBB	chr6p_amp
UQCC2	chr6p_amp
VARS	chr6p_amp
WDR46	chr6p_amp
YIPF3	chr6p_amp
ZFAND3	chr6p_amp
ZNF451	chr6p_amp
ZNRD1	chr6p_amp
ZSCAN16-AS1	chr6p_amp
