source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
B progenitor cells 5	B progenitor cells 5	TGFB1	TGFbR1_R2	1.55697114238771e-05	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Cytotoxic NK/T cells	B progenitor cells 5	TGFB1	TGFbR1_R2	9.31350950755767e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	Cytotoxic NK/T cells	TGFB1	TGFbR1_R2	9.67951103020661e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Cytotoxic NK/T cells	Cytotoxic NK/T cells	TGFB1	TGFbR1_R2	5.78995289276715e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	Naive T cells	TGFB1	TGFbR1_R2	2.10473771524166e-05	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	B progenitor cells 5	TGFB2	TGFbR1_R2	2.25860928688901e-06	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Cytotoxic NK/T cells	B progenitor cells 5	TGFB2	TGFbR1_R2	1.33113357222071e-06	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	Cytotoxic NK/T cells	TGFB2	TGFbR1_R2	1.40400283659003e-06	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Cytotoxic NK/T cells	Cytotoxic NK/T cells	TGFB2	TGFbR1_R2	8.27459599417646e-07	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	Naive T cells	TGFB2	TGFbR1_R2	3.05189489097919e-06	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	B progenitor cells 5	TGFB3	TGFbR1_R2	2.14005589153787e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Cytotoxic NK/T cells	B progenitor cells 5	TGFB3	TGFbR1_R2	1.2630175437571e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Naive T cells	B progenitor cells 5	TGFB3	TGFbR1_R2	2.71441313761788e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	Cytotoxic NK/T cells	TGFB3	TGFbR1_R2	1.33030609878531e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Cytotoxic NK/T cells	Cytotoxic NK/T cells	TGFB3	TGFbR1_R2	7.85116732843513e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Naive T cells	Cytotoxic NK/T cells	TGFB3	TGFbR1_R2	1.68731790863424e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	Naive T cells	TGFB3	TGFbR1_R2	2.89169108457368e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Cytotoxic NK/T cells	Naive T cells	TGFB3	TGFbR1_R2	1.70659128561208e-06	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
B progenitor cells 5	B progenitor cells 5	TGFB1	ACVR1_TGFbR	3.79748149487116e-06	0	TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Cytotoxic NK/T cells	B progenitor cells 5	TGFB1	ACVR1_TGFbR	2.27690106272632e-06	0	TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	Cytotoxic NK/T cells	TGFB1	ACVR1_TGFbR	2.33018628131704e-06	0	TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Cytotoxic NK/T cells	Cytotoxic NK/T cells	TGFB1	ACVR1_TGFbR	1.39712799090584e-06	0	TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	Naive T cells	TGFB1	ACVR1_TGFbR	6.17432188364425e-06	0	TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	B progenitor cells 5	TGFB2	ACVR1_TGFbR	5.50630262521747e-07	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Cytotoxic NK/T cells	B progenitor cells 5	TGFB2	ACVR1_TGFbR	3.25309479064285e-07	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	Cytotoxic NK/T cells	TGFB2	ACVR1_TGFbR	3.37864815765185e-07	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Cytotoxic NK/T cells	Cytotoxic NK/T cells	TGFB2	ACVR1_TGFbR	1.99608559050914e-07	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	Naive T cells	TGFB2	ACVR1_TGFbR	8.9518090016105e-07	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	B progenitor cells 5	TGFB3	ACVR1_TGFbR	5.21725827267474e-07	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Cytotoxic NK/T cells	B progenitor cells 5	TGFB3	ACVR1_TGFbR	3.08661978710553e-07	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Naive T cells	B progenitor cells 5	TGFB3	ACVR1_TGFbR	6.63456923794674e-07	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	Cytotoxic NK/T cells	TGFB3	ACVR1_TGFbR	3.20129075438934e-07	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Cytotoxic NK/T cells	Cytotoxic NK/T cells	TGFB3	ACVR1_TGFbR	1.89393685585834e-07	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Naive T cells	Cytotoxic NK/T cells	TGFB3	ACVR1_TGFbR	4.07093408330445e-07	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	Naive T cells	TGFB3	ACVR1_TGFbR	8.48189097273833e-07	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Cytotoxic NK/T cells	Naive T cells	TGFB3	ACVR1_TGFbR	5.01801527958879e-07	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
B progenitor cells 5	B progenitor cells 5	BMP2	BMPR1B_ACVR2A	5.25420251450074e-09	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
